title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
Green Grey Homestead,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400261h.html,,,,
The Miserable Clerk,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400251h.html,,,,
On Emu Creek,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400241h.html,,,,
We Kaytons,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400231h.html,,,,
The Romance Of Runnibede,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400221h.html,,,,
The Umbrella Murder,Carolyn Wells,,,http://gutenberg.net.au/ebooks24/2400211h.html,,,,
The Dashwoods,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400201h.html,,,,
Grandpa's Selection,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400191h.html,,,,
The Old Homestead,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400181h.html,,,,
The Book of Dan,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400171h.html,,,,
Verse of Christopher Brennan,Christopher Brennan,,,,,,http://gutenberg.net.au/ebooks24/2400161p.pdf,
The Roll-Top Desk Mystery,Carolyn Wells,,,http://gutenberg.net.au/ebooks24/2400151h.html,,,,
Duncan McClure,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400141h.html,,,,
The Clue of the Eyelash,Carolyn Wells,,,http://gutenberg.net.au/ebooks24/2400131h.html,,,,
On an Australian Farm,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400121h.html,,,,
The Visiting Villain,Carolyn Wells,,,http://gutenberg.net.au/ebooks24/2400111h.html,,,,
From Selection to City,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400101h.html,,,,
Stocking Our Selection,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400091h.html,,,,
In Australia,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400081h.html,,,,
Horror House,Carolyn Wells,,,http://gutenberg.net.au/ebooks24/2400071h.html,,,,
The Poor Parson,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400061h.html,,,,
Back at Our Selection,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400051h.html,,,,
Sandy's Selection,Steele Rudd,,,http://gutenberg.net.au/ebooks24/2400041h.html,,,,
That Droll Lady,Thomas E Spencer,,,http://gutenberg.net.au/ebooks24/2400031h.html,,,,
The Surprising Adventures,Thomas E Spencer,,The Surprising Adventures of Mrs Bridget McSweeney,http://gutenberg.net.au/ebooks24/2400021h.html,,,,
The Spirit Of The Bush Fire,J M Whitfield,,,http://gutenberg.net.au/ebooks24/2400011h.html,,,,
For Life and Other Stories,Steele Rudd,,,http://gutenberg.net.au/ebooks23/2301211h.html,,,,
A Plea for Pure Democracy,Catherine Helen Spence,,,http://gutenberg.net.au/ebooks23/2301201h.html,,,,
Dad in Politics,Steele Rudd,,,http://gutenberg.net.au/ebooks23/2301191h.html,,,,
South Wind,Norman Douglas,,,http://gutenberg.net.au/ebooks23/2301181h.html,,,,
