author,title,location,relative_location,remote_url
George Orwell,Animal Farm,/Users/user/gut-au/ebooks01/0100011h.html,ebooks01/0100011h.html,http://gutenberg.net.au/ebooks01/0100011h.html
George Orwell,Nineteen eighty-four,/Users/user/gut-au/ebooks01/0100021h.html,ebooks01/0100021h.html,http://gutenberg.net.au/ebooks01/0100021h.html
Arthur Conan Doyle,When the World Screamed,/Users/user/gut-au/ebooks01/0100031h.html,ebooks01/0100031h.html,http://gutenberg.net.au/ebooks01/0100031h.html
Alan Sullivan,Under The Northern Lights,/Users/user/gut-au/ebooks01/0100041h.html,ebooks01/0100041h.html,http://gutenberg.net.au/ebooks01/0100041h.html
Henry Handel Richardson (1870-1946),Australia Felix,/Users/user/gut-au/ebooks01/0100051h.html,ebooks01/0100051h.html,http://gutenberg.net.au/ebooks01/0100051h.html
Henry Handel Richardson (1870-1946),The Way Home,/Users/user/gut-au/ebooks01/0100061h.html,ebooks01/0100061h.html,http://gutenberg.net.au/ebooks01/0100061h.html
Henry Handel Richardson (1870-1946),Ultima Thule,/Users/user/gut-au/ebooks01/0100071h.html,ebooks01/0100071h.html,http://gutenberg.net.au/ebooks01/0100071h.html
Lennie Lower,Here's Luck,/Users/user/gut-au/ebooks01/0100081h.html,ebooks01/0100081h.html,http://gutenberg.net.au/ebooks01/0100081h.html
Henry Handel Richardson (1870-1946),The Fortunes of Richard Mahony,/Users/user/gut-au/ebooks01/0100091h.html,ebooks01/0100091h.html,http://gutenberg.net.au/ebooks01/0100091h.html
Virginia Woolf,To the Lighthouse,/Users/user/gut-au/ebooks01/0100101h.html,ebooks01/0100101h.html,http://gutenberg.net.au/ebooks01/0100101h.html
T.E. Lawrence (1888-1935),Seven Pillars of Wisdom,/Users/user/gut-au/ebooks01/0100111h.html,ebooks01/0100111h.html,http://gutenberg.net.au/ebooks01/0100111h.html
Emily Carr,The House of All Sorts,/Users/user/gut-au/ebooks01/0100121h.html,ebooks01/0100121h.html,http://gutenberg.net.au/ebooks01/0100121h.html
Emily Carr,Klee Wyck,/Users/user/gut-au/ebooks01/0100131h.html,ebooks01/0100131h.html,http://gutenberg.net.au/ebooks01/0100131h.html
Barbara Baynton,Bush Studies,/Users/user/gut-au/ebooks01/0100141h.html,ebooks01/0100141h.html,http://gutenberg.net.au/ebooks01/0100141h.html
Abraham Merritt,The Dwellers In The Mirage,/Users/user/gut-au/ebooks01/0100151h.html,ebooks01/0100151h.html,http://gutenberg.net.au/ebooks01/0100151h.html
Fyodor Dostoevsky,A Raw Youth,/Users/user/gut-au/ebooks01/0100161h.html,ebooks01/0100161h.html,http://gutenberg.net.au/ebooks01/0100161h.html
George Orwell,Down and Out in Paris and,/Users/user/gut-au/ebooks01/0100171h.html,ebooks01/0100171h.html,http://gutenberg.net.au/ebooks01/0100171h.html
D H Lawrence,Lady Chatterley's Lover,/Users/user/gut-au/ebooks01/0100181h.html,ebooks01/0100181h.html,http://gutenberg.net.au/ebooks01/0100181h.html
Henry Handel Richardson,Two Hanged Women,/Users/user/gut-au/ebooks01/0100191h.html,ebooks01/0100191h.html,http://gutenberg.net.au/ebooks01/0100191h.html
Edgar Rice Burroughs,The Master Mind of Mars,/Users/user/gut-au/ebooks01/0100201h.html,ebooks01/0100201h.html,http://gutenberg.net.au/ebooks01/0100201h.html
Edgar Rice Burroughs,A Fighting Man of Mars,/Users/user/gut-au/ebooks01/0100211h.html,ebooks01/0100211h.html,http://gutenberg.net.au/ebooks01/0100211h.html
Edgar Rice Burroughs,Swords of Mars,/Users/user/gut-au/ebooks01/0100221h.html,ebooks01/0100221h.html,http://gutenberg.net.au/ebooks01/0100221h.html
Edgar Rice Burroughs,The Synthetic Men of Mars,/Users/user/gut-au/ebooks01/0100231h.html,ebooks01/0100231h.html,http://gutenberg.net.au/ebooks01/0100231h.html
Edgar Rice Burroughs,Llana of Gathol,/Users/user/gut-au/ebooks01/0100241h.html,ebooks01/0100241h.html,http://gutenberg.net.au/ebooks01/0100241h.html
L M Montgomery,Anne of Windy Poplars,/Users/user/gut-au/ebooks01/0100251h.html,ebooks01/0100251h.html,http://gutenberg.net.au/ebooks01/0100251h.html
Robert Dean Frisbie,The Island of Desire,/Users/user/gut-au/ebooks01/0100261h.html,ebooks01/0100261h.html,http://gutenberg.net.au/ebooks01/0100261h.html
Edgar Rice Burroughs,Tarzan and the Golden Lion,/Users/user/gut-au/ebooks01/0100271h.html,ebooks01/0100271h.html,http://gutenberg.net.au/ebooks01/0100271h.html
L M Montgomery,Anne of Ingleside,/Users/user/gut-au/ebooks01/0100281h.html,ebooks01/0100281h.html,http://gutenberg.net.au/ebooks01/0100281h.html
Arthur Conan Doyle,The Case-Book of Sherlock Holmes,/Users/user/gut-au/ebooks01/0100291h.html,ebooks01/0100291h.html,http://gutenberg.net.au/ebooks01/0100291h.html
Lennie Lower,Here's Another,/Users/user/gut-au/ebooks01/0100301h.html,ebooks01/0100301h.html,http://gutenberg.net.au/ebooks01/0100301h.html
G.K. Chesterton,The Everlasting Man,/Users/user/gut-au/ebooks01/0100311h.html,ebooks01/0100311h.html,http://gutenberg.net.au/ebooks01/0100311h.html
G.K. Chesterton,Tales of the Long Bow,/Users/user/gut-au/ebooks01/0100321h.html,ebooks01/0100321h.html,http://gutenberg.net.au/ebooks01/0100321h.html
G.K. Chesterton,St. Thomas Aquinas,/Users/user/gut-au/ebooks01/0100331h.html,ebooks01/0100331h.html,http://gutenberg.net.au/ebooks01/0100331h.html
D H Lawrence,The Rainbow,/Users/user/gut-au/ebooks01/0100341h.html,ebooks01/0100341h.html,http://gutenberg.net.au/ebooks01/0100341h.html
London,"and the plans and views drawn on the spot,",/Users/user/gut-au/ebooks01/e00101.html,ebooks01/e00101.html,http://gutenberg.net.au/ebooks01/e00101.html
George Orwell,A Clergyman's Daughter,/Users/user/gut-au/ebooks02/0200011h.html,ebooks02/0200011h.html,http://gutenberg.net.au/ebooks02/0200011h.html
George Orwell,Keep the Aspidistra Flying,/Users/user/gut-au/ebooks02/0200021h.html,ebooks02/0200021h.html,http://gutenberg.net.au/ebooks02/0200021h.html
George Orwell,Coming Up for Air,/Users/user/gut-au/ebooks02/0200031h.html,ebooks02/0200031h.html,http://gutenberg.net.au/ebooks02/0200031h.html
F. Scott Fitzgerald,The Great Gatsby,/Users/user/gut-au/ebooks02/0200041h.html,ebooks02/0200041h.html,http://gutenberg.net.au/ebooks02/0200041h.html
George Orwell,Burmese Days,/Users/user/gut-au/ebooks02/0200051h.html,ebooks02/0200051h.html,http://gutenberg.net.au/ebooks02/0200051h.html
Kahlil Gibran,The Prophet,/Users/user/gut-au/ebooks02/0200061h.html,ebooks02/0200061h.html,http://gutenberg.net.au/ebooks02/0200061h.html
Edith Wharton,A Bottle of Perrier,/Users/user/gut-au/ebooks02/0200071h.html,ebooks02/0200071h.html,http://gutenberg.net.au/ebooks02/0200071h.html
Edith Wharton,After Holbein,/Users/user/gut-au/ebooks02/0200081h.html,ebooks02/0200081h.html,http://gutenberg.net.au/ebooks02/0200081h.html
Edith Wharton,Atrophy,/Users/user/gut-au/ebooks02/0200091h.html,ebooks02/0200091h.html,http://gutenberg.net.au/ebooks02/0200091h.html
Edith Wharton.,Dieu D'Amour,/Users/user/gut-au/ebooks02/0200101h.html,ebooks02/0200101h.html,http://gutenberg.net.au/ebooks02/0200101h.html
Edith Wharton,The Refugees,/Users/user/gut-au/ebooks02/0200111h.html,ebooks02/0200111h.html,http://gutenberg.net.au/ebooks02/0200111h.html
Edith Wharton,Mr. Jones,/Users/user/gut-au/ebooks02/0200121h.html,ebooks02/0200121h.html,http://gutenberg.net.au/ebooks02/0200121h.html
Sinclair Lewis,Arrowsmith,/Users/user/gut-au/ebooks02/0200131h.html,ebooks02/0200131h.html,http://gutenberg.net.au/ebooks02/0200131h.html
George Orwell,Shooting an Elephant,/Users/user/gut-au/ebooks02/0200141h.html,ebooks02/0200141h.html,http://gutenberg.net.au/ebooks02/0200141h.html
